daily_demand,Cluster,Silhouette,mean_temp,pressure,sunshine,precipitation,global_radiation,max_temp,min_temp
continuous,C1 C2 C3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
33286.2,C3,0.602698,7.1,101300,4.1,0.0,174,12.1,3.6
33401.3,C3,0.570477,7.2,101520,5.5,0.0,197,14.5,2.2
32763.4,C3,0.540277,8.3,101460,6.5,0.0,213,15.0,2.0
31906.5,C3,0.520245,9.6,101220,4.6,0.0,184,17.9,4.1
27872.5,C2,0.577856,12.0,101530,8.4,0.0,243,16.4,6.1
27012,C1,0.494668,10.6,101670,2.6,3.8,149,18.3,4.8
31425.6,C2,0.590011,12.3,102380,7.7,0.0,234,19.3,6.2
31717.4,C2,0.584519,12.8,102850,6.0,0.0,209,21.7,6.3
31562.7,C2,0.606528,14.5,102960,6.3,0.0,215,22.7,7.2
31673.8,C2,0.604113,16.6,103180,2.8,0.0,155,25.2,10.4
30896.8,C2,0.639274,19.6,103090,9.6,0.0,264,25.0,13.9
30586.9,C2,0.632011,16.4,101210,10.6,0.0,280,17.4,12.0
30733.9,C2,0.542754,13.5,100980,3.2,2.6,166,18.7,9.5
30548.1,C2,0.625159,14.1,101000,5.9,0.2,213,19.7,9.5
29555.2,C2,0.604672,13.7,101430,9.9,0.0,272,16.5,7.6
26674.2,C1,0.516838,13.5,101050,0.1,2.2,89,20.3,10.5
